Date,Open,High,Low,Close,Adj Close,Volume
2018-05-30,9.921000,10.042000,9.795000,9.862000,9.862000,32299501
2018-05-31,9.921000,10.012000,9.066000,9.157000,9.157000,60614123
2018-06-01,9.324000,9.538000,9.159000,9.410000,9.410000,37168444
2018-06-04,9.640000,9.786000,9.502000,9.534000,9.534000,22254669
2018-06-05,9.571000,9.749000,9.384000,9.420000,9.420000,25084440
2018-06-06,9.460000,9.625000,9.336000,9.558000,9.558000,23011080
2018-06-07,9.650000,9.849000,9.616000,9.619000,9.619000,22292536
2018-06-08,9.621000,9.621000,9.405000,9.554000,9.554000,18648384
2018-06-11,9.657000,9.793000,9.559000,9.677000,9.677000,16333841
2018-06-12,9.782000,9.785000,9.607000,9.720000,9.720000,12930645
2018-06-13,9.650000,9.707000,9.516000,9.655000,9.655000,14097718
2018-06-14,9.612000,9.740000,9.562000,9.657000,9.657000,19072682
2018-06-15,9.730000,9.730000,9.312000,9.492000,9.492000,38917914
2018-06-18,9.440000,9.676000,9.412000,9.481000,9.481000,14388881
2018-06-19,9.300000,9.640000,9.262000,9.560000,9.560000,18095900
2018-06-20,9.675000,9.723000,9.554000,9.589000,9.589000,16383680
2018-06-21,9.585000,9.643000,9.327000,9.378000,9.378000,18611384
2018-06-22,9.400000,9.590000,9.392000,9.494000,9.494000,10643343
2018-06-25,9.392000,9.411000,9.239000,9.259000,9.259000,13305643
2018-06-26,9.320000,9.367000,9.151000,9.208000,9.208000,12581121
2018-06-27,9.190000,9.202000,8.755000,9.052000,9.052000,32220185
2018-06-28,9.000000,9.108000,8.880000,9.062000,9.062000,17116101
2018-06-29,9.100000,9.453000,9.068000,9.222000,9.222000,24454316
2018-07-02,9.071000,9.210000,8.913000,9.139000,9.139000,16389948
2018-07-03,9.151000,9.337000,9.057000,9.245000,9.245000,13546806
2018-07-04,9.236000,9.349000,9.205000,9.328000,9.328000,10830079
2018-07-05,9.350000,9.692000,9.350000,9.522000,9.522000,20676214
2018-07-06,9.560000,10.120000,9.515000,9.761000,9.761000,37158572
2018-07-09,9.854000,9.867000,9.658000,9.792000,9.792000,14082193
2018-07-10,9.848000,9.897000,9.687000,9.740000,9.740000,14268211
2018-07-11,9.655000,9.667000,9.538000,9.574000,9.574000,14430916
2018-07-12,9.613000,9.644000,9.451000,9.560000,9.560000,11584638
2018-07-13,9.600000,9.744000,9.457000,9.607000,9.607000,17827481
2018-07-16,9.630000,10.498000,9.539000,10.306000,10.306000,43814802
2018-07-17,10.438000,10.484000,10.060000,10.166000,10.166000,22188583
2018-07-18,10.218000,10.390000,10.024000,10.352000,10.352000,14391391
2018-07-19,10.344000,10.468000,10.248000,10.312000,10.312000,12240970
2018-07-20,10.300000,10.372000,10.100000,10.256000,10.256000,16702556
2018-07-23,10.290000,10.422000,10.226000,10.354000,10.354000,10375634
2018-07-24,10.450000,10.526000,10.368000,10.454000,10.454000,14216887
2018-07-25,10.512000,10.514000,10.220000,10.310000,10.310000,14283949
2018-07-26,10.330000,10.580000,10.290000,10.516000,10.516000,15816063
2018-07-27,10.570000,10.656000,10.542000,10.628000,10.628000,11884388
2018-07-30,10.640000,10.992000,10.640000,10.936000,10.936000,15409783
2018-07-31,10.992000,11.284000,10.986000,11.188000,11.188000,21542897
2018-08-01,11.250000,11.256000,10.968000,11.092000,11.092000,11834946
2018-08-02,11.000000,11.002000,10.612000,10.728000,10.728000,16574965
2018-08-03,10.770000,10.876000,10.622000,10.764000,10.764000,9806568
2018-08-06,10.880000,10.880000,10.696000,10.768000,10.768000,8391680
2018-08-07,10.862000,10.974000,10.842000,10.936000,10.936000,9762516
2018-08-08,10.900000,10.964000,10.764000,10.776000,10.776000,12755277
2018-08-09,10.710000,10.794000,10.632000,10.742000,10.742000,7953194
2018-08-10,10.480000,10.498000,10.132000,10.306000,10.306000,26891013
2018-08-13,9.998000,10.240000,9.949000,10.096000,10.096000,18994428
2018-08-14,10.200000,10.292000,9.990000,10.044000,10.044000,13004025
2018-08-15,10.128000,10.206000,9.740000,9.792000,9.792000,18979917
2018-08-16,9.950000,9.974000,9.797000,9.883000,9.883000,11514960
2018-08-17,9.906000,9.906000,9.661000,9.758000,9.758000,14393764
2018-08-20,9.823000,9.896000,9.705000,9.767000,9.767000,8754697
2018-08-21,9.751000,9.963000,9.728000,9.919000,9.919000,10770631
2018-08-22,9.920000,10.098000,9.895000,9.966000,9.966000,9838456
2018-08-23,9.923000,9.957000,9.724000,9.841000,9.841000,9779747
2018-08-24,9.835000,9.963000,9.765000,9.816000,9.816000,8245287
2018-08-27,9.884000,10.046000,9.797000,10.014000,10.014000,9419188
2018-08-28,10.050000,10.100000,9.861000,9.861000,9.861000,10268712
2018-08-29,9.882000,9.991000,9.817000,9.971000,9.971000,10017003
2018-08-30,9.947000,9.964000,9.768000,9.805000,9.805000,10578705
2018-08-31,9.760000,9.780000,9.618000,9.702000,9.702000,11729358
2018-09-03,9.680000,9.781000,9.658000,9.776000,9.776000,9029645
2018-09-04,9.827000,9.933000,9.699000,9.839000,9.839000,13163972
2018-09-05,9.820000,10.080000,9.798000,9.871000,9.871000,15339716
2018-09-06,9.842000,9.940000,9.747000,9.764000,9.764000,12247923
2018-09-07,9.758000,9.813000,9.453000,9.622000,9.622000,19230615
2018-09-10,9.604000,9.720000,9.524000,9.577000,9.577000,12347873
2018-09-11,9.598000,9.686000,9.462000,9.624000,9.624000,16589448
2018-09-12,9.685000,9.690000,9.454000,9.531000,9.531000,12474189
2018-09-13,9.562000,9.846000,9.541000,9.720000,9.720000,15639705
2018-09-14,9.791000,9.837000,9.620000,9.783000,9.783000,13405243
2018-09-17,9.740000,9.886000,9.715000,9.859000,9.859000,11005450
2018-09-18,9.878000,9.962000,9.792000,9.914000,9.914000,9869185
2018-09-19,9.939000,10.220000,9.926000,10.220000,10.220000,18460005
2018-09-20,10.200000,10.444000,10.192000,10.370000,10.370000,18570849
2018-09-21,10.468000,10.626000,10.340000,10.536000,10.536000,111008927
2018-09-24,10.490000,10.608000,10.396000,10.446000,10.446000,12722513
2018-09-25,10.442000,10.568000,10.368000,10.382000,10.382000,10323848
2018-09-26,10.380000,10.380000,10.186000,10.242000,10.242000,9835100
2018-09-27,10.132000,10.244000,10.020000,10.212000,10.212000,11007140
2018-09-28,10.104000,10.118000,9.726000,9.828000,9.828000,22395401
2018-10-01,9.785000,9.846000,9.674000,9.713000,9.713000,12554263
